,FRA,FRA
hours,wind (won),solar (solEB)
621,0.248841463,0
622,0.297439024,0
623,0.341829268,0
624,0.382926829,0
625,0.423719512,0
626,0.467317073,0
627,0.506341463,0
628,0.544695122,0
629,0.57347561,0
630,0.573597561,0
631,0.570731707,0
632,0.567804878,0
633,0.568841463,0.001931818
634,0.568414634,0.036931818
635,0.531890244,0.078295455
636,0.510609756,0.125795455
637,0.495365854,0.148181818
638,0.484634146,0.1425
639,0.452073171,0.128295455
640,0.391402439,0.098636364
641,0.331829268,0.054318182
642,0.278170732,0.011363636
643,0.241829268,0
644,0.228292683,0
645,0.234817073,0
646,0.235853659,0
647,0.259390244,0
648,0.280853659,0
649,0.303841463,0
650,0.301097561,0
651,0.29445122,0
652,0.308109756,0
653,0.334268293,0
654,0.342134146,0
655,0.329146341,0
656,0.327317073,0
657,0.331585366,0.000568182
658,0.321402439,0.047045455
659,0.294207317,0.171136364
660,0.267256098,0.27
661,0.286829268,0.328522727
662,0.32847561,0.329090909
663,0.384390244,0.293636364
664,0.431280488,0.23
665,0.472256098,0.127727273
666,0.542865854,0.034545455
667,0.614146341,0.000227273
668,0.676646341,0
669,0.695609756,0
670,0.711097561,0
671,0.701219512,0
672,0.687987805,0
673,0.682682927,0
674,0.681829268,0
675,0.672560976,0
676,0.669939024,0
677,0.662804878,0
678,0.662073171,0
679,0.671097561,0
680,0.677317073,0
681,0.674512195,0.001704545
682,0.67,0.048295455
683,0.669085366,0.122954545
684,0.669085366,0.183522727
685,0.67,0.217727273
686,0.665487805,0.220113636
687,0.658780488,0.193409091
688,0.657560976,0.141590909
689,0.637134146,0.094090909
690,0.642804878,0.025113636
691,0.648963415,0.000340909
692,0.656829268,0
693,0.662073171,0
694,0.675914634,0
695,0.675487805,0
696,0.668719512,0
697,0.662926829,0
698,0.661707317,0
699,0.655060976,0
700,0.650304878,0
701,0.658414634,0
702,0.665609756,0
703,0.664634146,0
704,0.660487805,0
705,0.65554878,0.002272727
706,0.634695122,0.052613636
707,0.625670732,0.142045455
708,0.622012195,0.219431818
709,0.619512195,0.27625
710,0.634329268,0.277727273
711,0.632621951,0.249772727
712,0.622439024,0.204772727
713,0.58097561,0.122727273
714,0.548536585,0.034772727
715,0.531341463,0.000568182
716,0.537134146,0
717,0.543536585,0
718,0.531280488,0
719,0.524268293,0
720,0.522439024,0
721,0.504634146,0
722,0.485,0
723,0.45652439,0
724,0.393170732,0
725,0.367560976,0
726,0.378658537,0
727,0.432743902,0
728,0.477743902,0
729,0.544878049,0.003977273
730,0.577195122,0.062272727
731,0.595609756,0.157272727
732,0.614329268,0.244772727
733,0.624756098,0.273977273
734,0.649573171,0.266818182
735,0.664512195,0.220909091
736,0.647378049,0.175681818
737,0.62554878,0.092613636
738,0.588231707,0.028522727
739,0.542560976,0.000227273
740,0.507439024,0
741,0.484085366,0
742,0.446829268,0
743,0.407926829,0
744,0.382682927,0
745,0.353963415,0
746,0.339878049,0
747,0.322926829,0
748,0.307378049,0
749,0.325670732,0
750,0.32554878,0
751,0.331829268,0
752,0.378841463,0
753,0.444695122,0.001931818
754,0.482439024,0.024886364
