Hour,Demand in region 1 (MWh)
454,588.0851502
455,569.230293
456,548.8088328
457,530.6121342
458,516.2716902
459,506.3807694
460,500.3461026
461,493.9777218
462,479.4518802
463,492.7077534
464,523.2148008
465,553.5828012
466,578.9358168
467,600.94242
468,601.1556264
469,586.055055
470,573.1421664
471,565.8282612
472,571.14915
473,612.4648326
474,627.055563
475,614.3558802
476,590.606547
477,583.7190552
478,591.8116266
479,569.1561342
480,546.7509282
481,529.305087
482,527.525277
483,526.4592456
484,533.7360708
485,564.1318806
486,632.8584834
487,696.2827374
488,718.4376582
489,720.4584834
490,730.4884518
491,739.6748646
492,737.1163884
493,733.2786738
494,723.8419758
495,715.4156898
496,709.2697854
497,737.3110548
498,741.8532774
499,727.0586106
500,693.78915
501,667.0641978
502,650.9717532
503,615.2087058
504,589.6332138
505,572.048325
506,561.6846426
507,559.6267374
508,567.5617218
509,590.3469918
510,653.168706
511,716.9081346
512,734.6969598
513,740.3144838
514,751.7441976
515,757.6398168
516,752.2818486
517,749.7604518
518,738.4327056
519,732.5741664
520,725.7979122
521,750.576198
522,753.2644518
523,737.3852136
524,701.501658
525,675.5646426
526,656.1721344
527,623.356896
528,602.3143566
529,583.1906742
530,572.205912
531,569.601087
532,577.2394362
533,603.0744834
534,667.6111188
535,728.0226738
536,743.744325
537,744.1614678
538,750.0941664
539,757.0094676
540,754.413912
541,749.176452
542,739.4060394
543,734.798928
544,730.8128964
545,758.1774678
546,761.7556266
547,745.4499756
548,709.8445152
549,685.6131504
550,670.2530232
551,632.7935946
552,607.3478802
553,587.6680074
554,577.2487056
555,573.7168962
556,579.7237536
557,600.7199442
558,665.256579
559,730.0991184
560,749.0652138
561,749.4638172
562,753.7557534
563,760.36515
564,759.8089596
565,755.6097216
566,746.2657218
567,739.1464836
568,732.1292136
569,760.8749916
570,763.8598806
571,747.2205156
572,709.7796264
573,682.934166
574,667.9541028
575,635.6579754
576,608.497341
577,588.7989282
578,576.8037534
579,572.8455312
580,580.094547
581,601.823055
582,663.3469914
583,730.238166
584,748.4163246
585,750.7708644
586,754.8588648
587,758.4277536
588,753.5981664
589,741.9645156
590,731.5637532
591,724.0366422
592,721.8026106
593,749.3803884
594,750.3444516
595,729.1350552
596,690.127563
597,663.8939124
598,653.317023
599,629.1968964
600,600.599436
601,575.6079438
602,558.6997536
603,548.6605152
604,543.2469282
605,533.6062932
606,523.7431818
607,553.7867376
608,585.6101028
609,618.7775946
610,640.2836262
611,643.7598168
612,637.8827376
613,623.1158802
614,610.2864204
615,601.9528326
616,602.9910552
617,643.7876262
618,656.7375948
619,634.6939122
620,595.0189914
621,575.2834992
622,579.213912
623,559.255944
624,537.2956902
625,517.727055
626,503.9520708
627,495.82242
628,491.7158802
629,486.4691502
630,474.5110548
631,490.1029278
632,518.3388648
633,550.3847058
634,578.9821662
635,605.1972774
636,603.4360074
637,583.7005152
638,569.1839442
639,558.89442
640,558.0045156
641,594.657468
642,616.376706
643,605.5866108
644,582.013404
645,570.3612138
646,574.495563
647,548.8551822
648,526.9783566
649,513.2960706
650,507.0111186
651,507.5394996
652,520.8046422
653,551.2931502
654,625.831944
655,695.3186742
656,714.0993726
657,718.6508646
658,725.0377854
659,733.8163248
660,725.677404
661,723.9995628
662,715.8421026
663,707.4065472
664,698.368452
665,724.8987378
666,735.0121344
667,720.1618488
668,683.119563
669,656.99715
670,642.0912456
671,600.7292136
672,563.974293
673,541.6525152
674,532.957404
675,529.0640706
676,535.3304838
677,557.680071
678,622.8748644
679,689.9143566
680,709.4459124
681,709.58496
682,716.7134676
683,729.904452
684,727.3552458
685,722.3124516
686,715.6288962
687,710.2060392
688,705.0983568
689,725.2139124
690,729.8488326
691,715.721595
692,678.6607692
693,649.813023
694,627.593214
695,586.0179756
696,549.3835632
697,525.1336584
698,512.313468
699,512.7954996
700,522.278547
701,550.3383564
702,615.5887692
703,680.5425468
704,696.3568962
705,699.0080706
706,704.2640706
707,709.2790548
708,704.3845788
709,707.9349282
710,707.4158172
711,702.3452136
712,696.774039
713,716.398293
714,721.0888326
715,702.196896
716,667.6481976
717,639.2268648
718,614.5320072
719,565.1422932
720,529.12896
721,509.4398172
722,500.0772774
723,505.3703568
724,517.560198
725,544.368579
726,607.0141662
727,664.1720076
728,679.6526424
729,681.719817
730,688.357023
731,708.9824202
732,710.2245786
733,707.7588012
734,692.4635628
735,685.6687692
736,680.0234358
737,699.7125786
738,711.6428646
739,699.3325152
740,662.1511818
741,637.1226108
742,615.8854044
743,568.4145468
744,530.9736582
